dt,AverageTemperature,AverageTemperatureUncertainty,City,Country
1835-01-01,13.086,1.942,Mexico,Mexico
1835-02-01,12.322,2.02,Mexico,Mexico
1835-03-01,13.874,2.271,Mexico,Mexico
1835-04-01,16.312,2.247,Mexico,Mexico
1835-05-01,16.851,1.893,Mexico,Mexico
1835-06-01,16.544,2.086,Mexico,Mexico
1835-07-01,15.403,1.994,Mexico,Mexico
1835-08-01,15.178999999999998,1.435,Mexico,Mexico
1835-09-01,14.164,2.089,Mexico,Mexico
1835-10-01,13.380999999999998,1.4780000000000002,Mexico,Mexico
1835-11-01,11.683,1.968,Mexico,Mexico
1835-12-01,10.378,1.921,Mexico,Mexico
1836-01-01,12.255,1.6469999999999998,Mexico,Mexico
1836-02-01,13.045,2.031,Mexico,Mexico
1836-03-01,15.43,1.734,Mexico,Mexico
1836-04-01,17.022000000000002,1.665,Mexico,Mexico
1836-05-01,16.936,1.715,Mexico,Mexico
1836-06-01,17.096,1.55,Mexico,Mexico
1836-07-01,16.816000000000006,1.7380000000000002,Mexico,Mexico
1836-08-01,16.195999999999998,1.568,Mexico,Mexico
1836-09-01,15.742,2.077,Mexico,Mexico
1836-10-01,14.114,3.393,Mexico,Mexico
1836-11-01,11.543,1.975,Mexico,Mexico
1836-12-01,11.441,2.062,Mexico,Mexico
1837-01-01,12.169,2.026,Mexico,Mexico
1837-02-01,12.959,1.837,Mexico,Mexico
1837-03-01,14.399,1.861,Mexico,Mexico
1837-04-01,15.541,1.77,Mexico,Mexico
1837-05-01,16.921,1.6980000000000002,Mexico,Mexico
1837-06-01,17.335,1.891,Mexico,Mexico
1837-07-01,17.159000000000002,1.523,Mexico,Mexico
1837-08-01,16.858,1.356,Mexico,Mexico
1837-09-01,15.768,1.335,Mexico,Mexico
1837-10-01,13.831,2.085,Mexico,Mexico
1837-11-01,12.955,2.048,Mexico,Mexico
1837-12-01,11.976,2.929,Mexico,Mexico
1838-01-01,9.896,2.569,Mexico,Mexico
1838-02-01,11.196,1.864,Mexico,Mexico
1838-03-01,14.457,1.845,Mexico,Mexico
1838-04-01,16.956,1.74,Mexico,Mexico
1838-05-01,16.381999999999998,1.497,Mexico,Mexico
1838-06-01,17.574,1.641,Mexico,Mexico
1838-07-01,16.868000000000002,2.523,Mexico,Mexico
1838-08-01,16.338,2.2880000000000003,Mexico,Mexico
1838-09-01,15.211,1.515,Mexico,Mexico
1838-10-01,14.364,2.835,Mexico,Mexico
1838-11-01,12.8,2.454,Mexico,Mexico
1838-12-01,11.722,2.289,Mexico,Mexico
1839-01-01,12.31,1.824,Mexico,Mexico
1839-02-01,13.196,1.956,Mexico,Mexico
1839-03-01,13.49,1.7380000000000002,Mexico,Mexico
1839-04-01,17.916999999999994,1.962,Mexico,Mexico
1839-05-01,17.569000000000003,1.506,Mexico,Mexico
1839-06-01,17.922,1.482,Mexico,Mexico
1839-07-01,17.430999999999997,2.421,Mexico,Mexico
1839-08-01,17.082,1.901,Mexico,Mexico
1839-09-01,16.008,1.53,Mexico,Mexico
1839-10-01,14.393,1.946,Mexico,Mexico
1839-11-01,11.699000000000002,1.839,Mexico,Mexico
1839-12-01,9.871,1.735,Mexico,Mexico
1840-01-01,13.042,1.659,Mexico,Mexico
1840-02-01,13.175999999999998,2.531,Mexico,Mexico
1840-03-01,15.036,2.114,Mexico,Mexico
1840-04-01,17.283,2.126,Mexico,Mexico
1840-05-01,17.325,1.6369999999999998,Mexico,Mexico
1840-06-01,17.777,1.473,Mexico,Mexico
1840-07-01,17.643,1.426,Mexico,Mexico
1840-08-01,16.498,1.414,Mexico,Mexico
1840-09-01,15.722,1.4369999999999998,Mexico,Mexico
1840-10-01,13.712,1.838,Mexico,Mexico
1840-11-01,11.997,2.567,Mexico,Mexico
1840-12-01,11.566,1.787,Mexico,Mexico
1841-01-01,10.925,2.172,Mexico,Mexico
1841-02-01,13.255999999999998,1.95,Mexico,Mexico
1841-03-01,14.234000000000002,2.76,Mexico,Mexico
1841-04-01,16.823999999999998,1.7380000000000002,Mexico,Mexico
1841-05-01,17.843999999999994,1.484,Mexico,Mexico
1841-06-01,17.425,1.496,Mexico,Mexico
1841-07-01,17.855999999999998,1.535,Mexico,Mexico
1841-08-01,16.906,1.453,Mexico,Mexico
1841-09-01,15.697,1.473,Mexico,Mexico
1841-10-01,14.698,1.6669999999999998,Mexico,Mexico
1841-11-01,12.984000000000002,1.704,Mexico,Mexico
1841-12-01,12.37,2.006,Mexico,Mexico
1842-01-01,12.328,1.937,Mexico,Mexico
1842-02-01,13.36,1.899,Mexico,Mexico
1842-03-01,17.163,2.2030000000000003,Mexico,Mexico
1842-04-01,17.575,2.027,Mexico,Mexico
1842-05-01,18.065,1.664,Mexico,Mexico
1842-06-01,17.384,1.464,Mexico,Mexico
1842-07-01,16.467000000000002,1.419,Mexico,Mexico
1842-08-01,16.457,1.382,Mexico,Mexico
1842-09-01,15.573,1.354,Mexico,Mexico
1842-10-01,14.278,1.5590000000000002,Mexico,Mexico
1842-11-01,12.951,1.863,Mexico,Mexico
1842-12-01,12.757,1.6909999999999998,Mexico,Mexico
1843-01-01,13.119000000000002,2.022,Mexico,Mexico
